clock: 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 1980 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
     12960 kB       201ms       0.3%   10535.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     15168 kB       208ms       0.3%   10206.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     17744 kB       210ms       0.3%   10065.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     20760 kB       203ms       0.3%   10445.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     24296 kB       196ms       0.1%   10785.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     28424 kB       358ms      11.3%    6295.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     33256 kB       418ms       0.0%    5060.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     38912 kB       370ms       0.0%    5726.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     45528 kB       420ms       0.1%    5057.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     53264 kB       416ms       0.0%    5111.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     62320 kB       416ms       0.1%    5101.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     72912 kB       419ms       0.2%    5082.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     85312 kB       419ms       0.0%    5089.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     99816 kB       422ms       0.1%    5060.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    116784 kB       419ms       0.0%    5086.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    136640 kB       421ms       0.1%    5089.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    159872 kB       374ms       0.1%    5723.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    187048 kB       425ms       0.0%    5061.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    218848 kB       425ms       0.1%    5087.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    256048 kB       429ms       0.1%    5086.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    299576 kB       432ms       0.1%    5060.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    350512 kB       429ms       0.1%    5086.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    410096 kB       435ms       0.1%    5101.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    479808 kB       433ms       0.0%    5089.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    561384 kB       435ms       0.0%    5061.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
